price,hood_district,sqft,beds,bath,laundry,pets,housing_type,parking
6800,7.0,1600.0,2.0,2.0,2,0,0,3
3500,7.0,550.0,1.0,1.0,2,3,0,3
5100,7.0,1300.0,2.0,1.0,2,3,0,0
9000,7.0,3500.0,3.0,2.5,2,0,0,3
3100,7.0,561.0,1.0,1.0,0,3,0,0
3800,9.0,800.0,2.0,1.0,1,1,0,3
3100,8.0,750.0,1.0,1.0,2,0,0,3
3000,7.0,650.0,1.0,1.0,1,3,0,0
3000,7.0,650.0,1.0,1.0,1,3,0,3
3200,9.0,650.0,1.0,1.0,2,1,0,3
3100,7.0,650.0,1.0,1.0,1,3,0,3
15000,1.0,3500.0,4.0,3.5,2,0,3,3
3300,2.0,1525.0,2.0,1.0,1,0,3,0
1200,1.0,184.0,1.0,2.5,0,0,0,0
5600,9.0,1307.0,2.0,2.0,2,0,0,3
2345,2.0,500.0,1.0,1.0,0,1,0,0
2700,2.0,850.0,2.0,1.0,0,0,0,3
3700,7.0,800.0,1.0,1.0,1,3,0,3
3595,1.0,1205.0,3.0,2.0,1,0,0,3
4875,9.0,1708.0,2.0,3.0,2,0,0,0
5200,6.0,1417.0,2.0,1.5,2,3,0,3
5200,6.0,1700.0,4.0,2.0,2,3,0,2
1880,9.0,350.0,0.0,1.0,0,0,0,0
4350,8.0,950.0,2.0,1.0,2,1,0,3
2500,2.0,700.0,1.0,1.0,1,3,0,2
3184,9.0,704.0,1.0,1.0,2,3,0,3
2705,9.0,509.0,0.0,1.0,2,3,0,3
3581,9.0,922.0,2.0,2.0,2,3,0,3
2610,9.0,694.0,1.0,1.0,2,3,0,3
4900,9.0,1600.0,3.0,2.5,2,3,0,3
4200,9.0,1500.0,3.0,2.0,2,3,0,0
3600,6.0,1100.0,2.0,1.0,1,3,0,0
4200,9.0,1400.0,3.0,2.0,2,3,0,0
4500,9.0,1400.0,3.0,1.0,2,3,0,0
4200,9.0,1400.0,3.0,2.0,2,3,0,3
4800,6.0,1000.0,2.0,2.0,2,3,0,0
5000,9.0,1400.0,3.0,2.0,2,3,0,3
5000,9.0,1400.0,3.0,3.5,2,3,0,0
2900,6.0,725.0,1.0,1.0,1,3,0,3
1880,9.0,350.0,0.0,1.0,0,0,0,0
3995,9.0,908.0,2.0,1.0,2,3,0,3
2200,5.0,630.0,1.0,1.0,0,3,0,0
2795,5.0,664.0,1.0,1.0,1,1,0,0
3300,5.0,900.0,1.0,1.0,1,0,0,0
2995,5.0,810.0,2.0,1.0,1,1,0,0
1995,8.0,388.0,1.0,1.0,1,3,0,0
2750,5.0,600.0,1.0,1.0,1,1,0,3
5050,7.0,1500.0,2.0,2.0,2,1,0,3
3800,9.0,950.0,1.0,1.0,2,0,0,3
2600,6.0,725.0,0.0,1.0,1,0,0,0
3498,5.0,995.0,2.0,2.0,1,3,0,1
2600,8.0,558.0,1.0,1.0,2,0,0,0
2950,6.0,606.0,1.0,1.0,2,3,0,0
2795,9.0,750.0,1.0,1.0,1,3,0,3
2195,8.0,1000.0,1.0,1.0,1,0,0,3
3815,9.0,683.0,1.0,1.0,2,3,0,3
4050,9.0,830.0,1.0,1.0,2,0,0,3
750,10.0,170.0,1.0,1.0,1,0,0,0
2299,9.0,500.0,1.0,1.0,1,3,0,0
3572,9.0,697.0,1.0,1.0,2,3,0,3
2843,9.0,720.0,1.0,1.0,2,3,0,3
3636,9.0,721.0,1.0,1.0,2,3,0,3
3107,9.0,690.0,1.0,1.0,2,3,0,3
2800,7.0,780.0,1.0,1.0,1,0,0,0
3404,9.0,855.0,1.0,1.0,2,3,0,3
2399,9.0,559.0,1.0,1.0,2,0,0,3
3250,8.0,650.0,1.0,1.0,2,3,0,0
1948,8.0,500.0,0.0,1.0,2,3,0,0
1948,9.0,500.0,0.0,1.0,2,3,0,0
2600,9.0,800.0,1.0,1.0,2,3,0,3
2600,9.0,650.0,1.0,1.0,0,3,0,0
3000,8.0,900.0,1.0,1.0,1,1,0,0
3300,9.0,757.0,1.0,1.0,2,0,0,3
2500,4.0,600.0,1.0,1.0,1,0,0,2
2700,7.0,625.0,1.0,1.0,0,0,0,3
3200,9.0,916.0,1.0,1.0,2,0,0,3
3200,9.0,916.0,1.0,1.0,2,2,0,3
