date,title,link,price,brs,sqft,hood,bath,amenities
Oct  1,Lovely Newly Renovated 2BR 1BA Apartment (sunset / parkside),https://sfbay.craigslist.org/sfc/apa/d/san-francisco-lovely-newly-renovated/7191510957.html,2500,2,,sunset / parkside,1Ba,"['apartment', 'laundry on site', 'no smoking']"
Oct  1,Boo Spooky Special! The Martin,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-boo-spooky-special-the/7206543496.html,2680,1,591.0,potrero hill,1.5Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage']"
Oct  1,Arterra condo with Salesforce Tower Skyline View! ~ J.Wavro,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-arterra-condo-with/7206543348.html,2800,1,,SOMA / south beach,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'condo', 'w/d in unit', 'street parking']"
Oct  1,Bright Marina Studios,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-marina-studios/7202424047.html,2100,,,marina / cow hollow,1Ba,"['application fee details: 20.00 Credit Check fee', 'apartment', 'laundry on site', 'no smoking', 'wheelchair accessible']"
Oct  1,Newly Remodeled ! 2 br1ba$3195,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-newly-remodeled-2/7202136983.html,3195,,,USF / panhandle,1Ba,"['apartment', 'no smoking']"
Oct  1,Get 2 Months Free On This 2 Bed/2 Bath W/ Bay Bridge View!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-get-2-months-free-on-this/7206543087.html,3840,2,799.0,haight ashbury,2Ba,"['EV charging', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'attached garage', 'wheelchair accessible']"
Oct  1,Remodeled Russian Hill One Bedroom ~ J.Wavro,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-russian-hill/7206542268.html,4800,1,,Russian Hill,1Ba,"['apartment', 'laundry in bldg', 'valet parking']"
Oct  1,"Airy, Bright Marina 1BR",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-airy-bright-marina-1br/7206542254.html,3100,1,,marina / cow hollow,0Ba,"['application fee details: 20.00 Credit Check Fee', 'apartment', 'laundry on site', 'no smoking']"
Oct  1,Luxury Living with Turing! Call and Schedule a Tour Today!,https://sfbay.craigslist.org/sfc/apa/d/milpitas-luxury-living-with-turing-call/7204144646.html,2980,1,783.0,,1Ba,['apartment']
Oct  1,"Beautiful Studio, Ready to Rent! Move in special",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-studio-ready-to/7206538921.html,2053,,5100.0,western addition,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage']"
Oct  1,Luxury Potrero Hill Condo - Stunning City Views ~ J.Wavro,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-luxury-potrero-hill-condo/7206541438.html,9500,2,,potrero hill,2Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'condo', 'w/d in unit', 'attached garage']"
Oct  1,"SPECIAL RATE +1 MONTH FREE for our 2BD/2BA Home, Private Entry",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-special-rate-1-month-free/7206515026.html,2676,2,,hayes valley,2Ba,"['application fee details: $40', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'wheelchair accessible']"
Oct  1,A Brand New Apartment Worth Writing Home about At 50 Jones!!!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-brand-new-apartment-worth/7206532765.html,2292,1,515.0,downtown / civic / van ness,1Ba,"['EV charging', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'detached garage', 'wheelchair accessible']"
Oct  1,Luxury - One Bed One Bath - One Month Free ~ J.Wavro,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-luxury-one-bed-one-bath/7206535915.html,2500,1,,SOMA / south beach,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'condo', 'w/d in unit', 'street parking']"
Oct  1,Gorgeous 1BR/1BA in Hayes Valley; W/D in Unit; Pet Friendly,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-gorgeous-1br-1ba-in-hayes/7206540165.html,3195,1,,hayes valley,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking']"
Oct  1,Beautiful Split-Level Penthouse Condo (2-bed/2-bath + office),https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-split-level/7206540114.html,5500,2,1500.0,marina / cow hollow,2Ba,"['condo', 'w/d in unit', 'attached garage']"
Oct  1,Beautiful Nob Hill Two Bedroom Two Bath with Valet Parking ~ J.Wavro,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-nob-hill-two/7206539682.html,8300,2,,nob hill,2Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'valet parking']"
Oct  1,Convenience Meets Luxury.Corner 2x2 w/$100 Parking Lease Before 10/05,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-convenience-meets/7206539498.html,2905,2,981.0,bayview,2Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'wheelchair accessible']"
Oct  1,Gorgeous 1 Bed/1 Bath In La Galleria! - $2600,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-gorgeous-1-bed-1-bath-in/7206539303.html,2600,1,,nob hill,1Ba,"['apartment', 'laundry on site']"
Oct  1,"Commuter-friendly, Modest Studio in Rent-control, Gated Building",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-commuter-friendly-modest/7206517711.html,1395,,,tenderloin,1Ba,"['application fee details: $42', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'no smoking', 'no parking']"
Oct  1,Upscale 2Bd/2Ba Luxury Condo w/ Parking & Storage ~ J.Wavro,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-upscale-2bd-2ba-luxury/7206538680.html,4500,2,,SOMA / south beach,2Ba,"['condo', 'w/d in unit', 'attached garage']"
Oct  1,Updated Penthouse in Best Building  – Spectacular View – On the Park!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-updated-penthouse-in-best/7206536692.html,2695,,540.0,alamo square / nopa,1Ba,"['cats are OK - purrr', 'apartment', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,Commuter- and Pet-friendly Modern Studio with Ample Light,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-commuter-and-pet-friendly/7206535956.html,1495,,,tenderloin,1Ba,"['application fee details: $42', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'no smoking', 'no parking']"
Oct  1,"Modern, Spacious 1 Bedroom in Downtown SF; Commuter- and Pet-friendly",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-modern-spacious-1-bedroom/7206532168.html,2095,,,tenderloin,1Ba,"['application fee details: $42', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'no smoking', 'no parking']"
Oct  1,3BR 1BA Upstairs home available now,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3br-1ba-upstairs-home/7206526581.html,2900,3,1000.0,ingleside / SFSU / CCSF,1Ba,"['house', 'laundry on site', 'no smoking', 'street parking']"
Oct  1,ASTONISHING! Pac Heights Penthouse*PRIVATE ELEV*HUGE DECK*PRKG*PETS OK,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-astonishing-pac-heights/7206531173.html,6350,2,,pacific heights,2Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage']"
Oct  1,Beautiful 1bd/1ba - LIGHT - VIEW - PARKING - Avail NOW,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-1bd-1ba-light/7206537963.html,2495,1,,downtown / civic / van ness,1Ba,"['apartment', 'laundry in bldg', 'attached garage']"
